,1-gram,2-gram,3-gram,4-gram,5-gram,trace_variants
observation_ids,223.0,223.0,223.0,223.0,223.0,223.0
Q1_abundance,2.0,15.0,85.0,239.0,461.0,158.0
Q1_incidence,2.0,15.0,86.0,241.0,467.0,158.0
Q2_abundance,1.0,9.0,37.0,84.0,148.0,7.0
Q2_incidence,1.0,9.0,36.0,85.0,152.0,7.0
observed_species_count,15.0,101.0,287.0,558.0,845.0,171.0
chao2_abundance,17.0,113.5,384.6351351351351,898.0059523809524,1562.9763513513512,1954.142857142857
chao2_incidence,17.0,113.5,389.72222222222223,899.6529411764706,1562.3980263157896,1954.142857142857
D1_sample_abundance,9.369103920113117,38.54873207692966,111.09503279180653,268.49213687126394,490.32446385656255,122.48455576435876
D1_sample_incidence,10.906810150186613,43.386813837900775,116.3074005252565,275.599494729319,496.108519642354,122.48455576435876
D1_estimated_abundance,9.39325741673286,39.219844096555214,117.3453844784674,302.4537287139465,598.2262476555676,189.7250644186995
D1_estimated_incidence,10.92785857975138,44.195576028129814,123.21740676294499,311.84564496417215,608.2090634465176,189.7250644186995
D2_sample_abundance,7.740607517940584,23.446279887681182,55.5754607149958,120.46285883397415,264.48192771084865,54.46768893756806
D2_sample_incidence,10.273502600441487,27.70791990051889,55.15181208053755,120.56735314671165,264.9706393861945,54.46768893756806
D2_estimated_abundance,7.759306997053329,23.621850306036848,56.68143695227059,126.38127038359994,297.86425339366514,71.74782608695652
D2_estimated_incidence,10.238519507405547,27.762589085584608,55.85983483824349,125.74821210838154,297.1993279224666,71.42608695652174
completeness_abundance,0.8823529411764706,0.8898678414096917,0.7461616835892212,0.621376727537865,0.5406351793291126,0.08750639666642299
completeness_incidence,0.8823529411764706,0.8898678414096917,0.7364219529579472,0.6202391771990506,0.5408352966193583,0.08750639666642299
coverage_abundance,0.9992854591838038,0.9950367288637948,0.969630610681117,0.906373761122674,0.8040501145809659,0.29176250180509566
coverage_incidence,0.998922018738422,0.9941308596228522,0.9665846746581197,0.9008106276999025,0.7954153628077536,0.29176250180509566
l90_abundance,454.72796473477484,242.96619170877443,2993.853305465342,4833.57600517605,5585.006406050648,5564.482691219279
l95_abundance,2394.1537759414987,1987.9642187684342,5221.572142662254,7350.063347703227,8124.060729564471,7308.936102637072
l99_abundance,6897.361054932111,6039.724163321282,10394.17509825958,13193.166008745526,14019.562297776454,11359.431488830149
l90_incidence,35.277814997763585,17.160655999241285,256.59852426802695,419.7376290663906,519.7462862300545,5539.64771131829
l95_incidence,189.50280306631595,145.73914660563406,440.74440781274495,638.2296691421692,756.4786801587695,7276.625012238419
l99_incidence,547.6021357963588,444.2891563428293,868.3179083730853,1145.552475503375,1306.1542765917995,11309.761407426457
